instrument,set,k,lane_sharpe,bench_sharpe,n_trades,bench_trades,exit_events,flat_bars,flat_fraction,tstat,min_tstat_K4,min_tstat_K60,fixed_sharpe,searched_sharpe,selection_gap,mean_exit_corr,gate,reason_class,degenerate,verdict
AAPL,set3,2,0.9079127855312331,0.9770349722730817,124,1,63,1789,0.4734056628737761,-0.2674550388905768,2.2414027276049464,3.143980287069073,0.8359869003522739,0.95985762039887,0.12387072004659616,-0.12493691782325872,FAIL,FAIL_UNDERPERFORM,False,KILL
AAPL,set3,3,0.9492598154816476,0.9770349722730817,41,1,21,303,0.08017994178354063,-0.10746246717134651,2.2414027276049464,3.143980287069073,0.95985762039887,0.95985762039887,0.0,-0.12493691782325872,FAIL,FAIL_UNDERPERFORM,False,KILL
AAPL,set5,2,0.4966886649420672,0.9770349722730817,106,1,54,3221,0.8523418893887271,-1.8596720676960594,2.2414027276049464,3.143980287069073,0.3873419673813653,0.95985762039887,0.5725156530175047,-0.03510089533888948,FAIL,FAIL_UNDERPERFORM,False,KILL
AAPL,set5,3,0.8850361129892732,0.9770349722730817,232,1,117,1785,0.47234718179412544,-0.35598639601331244,2.2414027276049464,3.143980287069073,0.7433393458339288,0.95985762039887,0.21651827456494122,-0.03510089533888948,FAIL,FAIL_UNDERPERFORM,False,KILL
AMZN,set3,2,0.6798405196152141,0.8638800519755336,139,1,70,1788,0.47314104260386347,-0.7123612008427986,2.2414027276049464,3.143980287069073,0.7536832121542537,0.7536832121542537,0.0,-0.11087260655513581,FAIL,FAIL_UNDERPERFORM,False,KILL
AMZN,set3,3,0.7972431938709973,0.8638800519755336,51,1,26,338,0.08944165123048425,-0.25788674156213015,2.2414027276049464,3.143980287069073,0.6330254624201131,0.7536832121542537,0.12065774973414056,-0.11087260655513581,FAIL,FAIL_UNDERPERFORM,False,KILL
AMZN,set5,2,0.2658801348422249,0.8638800519755336,130,1,66,3150,0.8335538502249272,-2.315574956488725,2.2414027276049464,3.143980287069073,0.07539409192472482,0.7536832121542537,0.6782891202295289,-0.018611458611103963,FAIL,FAIL_UNDERPERFORM,False,KILL-SIG
AMZN,set5,3,0.6098721308900584,0.8638800519755336,255,1,128,1557,0.41201376025403547,-0.9832755574814588,2.2414027276049464,3.143980287069073,0.5755704619223313,0.7536832121542537,0.1781127502319224,-0.018611458611103963,FAIL,FAIL_UNDERPERFORM,False,KILL
BTC-USD,set3,2,1.1818684607258942,0.9120554396024015,117,1,59,1909,0.5067693124502256,1.041740295090497,2.2414027276049464,3.143980287069073,1.1411103880245097,1.1411103880245097,0.0,-0.17772316437557126,PASS,PASS,False,KEEP
BTC-USD,set3,3,1.1192267975964092,0.9120554396024015,31,1,16,300,0.07963897000265463,0.7999967317175892,2.2414027276049464,3.143980287069073,1.0803886141846293,1.1411103880245097,0.06072177383988042,-0.17772316437557126,PASS,PASS,False,KEEP
BTC-USD,set5,2,0.26213947892813255,0.9120554396024015,199,1,101,2995,0.7950623838598354,-2.5126103109649436,2.2414027276049464,3.143980287069073,0.1377482601650521,1.1411103880245097,1.0033621278594576,-0.07051217555679003,FAIL,FAIL_UNDERPERFORM,False,KILL-SIG
BTC-USD,set5,3,1.113360602441681,0.9120554396024015,221,1,111,1425,0.3782851075126095,0.7773543658511303,2.2414027276049464,3.143980287069073,1.067646867237704,1.1411103880245097,0.07346352078680574,-0.07051217555679003,PASS,PASS,False,KEEP
GLD,set3,2,0.32977566439258466,0.4288612934839662,122,1,62,2311,0.6115374437681926,-0.3836648355190645,2.2414027276049464,3.143980287069073,0.23573668947519566,0.34100387421805867,0.10526718474286301,-0.13416180900982344,FAIL,FAIL_UNDERPERFORM,False,KILL
GLD,set3,3,0.400811329398639,0.4288612934839662,62,1,32,456,0.12066684308017994,-0.10860536526330616,2.2414027276049464,3.143980287069073,0.34100387421805867,0.34100387421805867,0.0,-0.13416180900982344,FAIL,FAIL_UNDERPERFORM,False,KILL
GLD,set5,2,0.08644931919079187,0.4288612934839662,78,1,40,3311,0.8761577136808679,-1.3259706139956184,2.2414027276049464,3.143980287069073,0.07157181709670153,0.34100387421805867,0.26943205712135715,0.0029423180435440453,FAIL,FAIL_UNDERPERFORM,False,KILL
GLD,set5,3,0.14283285325095074,0.4288612934839662,208,1,105,2160,0.5715797830113787,-1.1076144265534043,2.2414027276049464,3.143980287069073,0.33560027433975315,0.34100387421805867,0.005403599878305521,0.0029423180435440453,FAIL,FAIL_UNDERPERFORM,False,KILL
GOOGL,set3,2,0.3100212194949177,0.7546852072703625,143,1,72,1894,0.5011907912146071,-1.721784238247156,2.2414027276049464,3.143980287069073,0.0800295431868462,0.5162298709021569,0.4362003277153107,-0.10058401749616745,FAIL,FAIL_UNDERPERFORM,False,KILL
GOOGL,set3,3,0.5389116205876325,0.7546852072703625,55,1,28,322,0.08520772691188146,-0.8353363167066523,2.2414027276049464,3.143980287069073,0.5162298709021569,0.5162298709021569,0.0,-0.10058401749616745,FAIL,FAIL_UNDERPERFORM,False,KILL
GOOGL,set5,2,0.06492189881183295,0.7546852072703625,120,1,61,3114,0.8240275205080709,-2.671077248968999,2.2414027276049464,3.143980287069073,-0.29646024332693954,0.5162298709021569,0.8126901142290964,0.0015042051531730023,FAIL,FAIL_NONPOSITIVE,False,KILL-SIG
