target,signal,window,lane_sharpe,bench_sharpe,beats_base_hold,sharpe_gap_vs_base_hold,n_trades,pos_mean_warm,pos_std_warm,pos_nunique_warm,frac_fully_invested_warm,degenerate_near_constant,tstat,min_tstat_K9,min_tstat_K27,fixed_sharpe,searched_sharpe,selection_gap,gate,reason_class,verdict
SPY,xasset_eq_bond_mom,63,0.27792737077564195,0.8673964015186144,False,-0.5894690307429724,3317,0.4900702005205469,0.3080078460286912,252,0.023960739030023093,False,-2.2825268299249775,2.539184813651313,2.902353478942126,0.14005064679168525,0.7642501397392403,0.6241994929475551,FAIL,FAIL_UNDERPERFORM,KILL
SPY,xasset_eq_bond_mom,126,0.26352358927747377,0.8673964015186144,False,-0.6038728122411406,3226,0.4825576511110177,0.32460583624359046,252,0.026756836224639813,False,-2.338318871402668,2.539184813651313,2.902353478942126,0.052088835067658705,0.7642501397392403,0.7121613046715816,FAIL,FAIL_UNDERPERFORM,KILL
SPY,xasset_eq_bond_mom,252,0.5914590788911566,0.8673964015186144,False,-0.27593732262745785,3068,0.4840700351387375,0.3387203271119502,252,0.04549618320610687,False,-1.0681886354119363,2.539184813651313,2.902353478942126,0.3745522286745472,0.7642501397392403,0.3896979110646931,FAIL,FAIL_UNDERPERFORM,KILL
SPY,xasset_metals_riskoff,63,0.7545718652123947,0.8673964015186144,False,-0.11282453630621969,3279,0.49865051871402905,0.30074094743274427,252,0.03175519630484989,False,-0.43666316254089255,2.539184813651313,2.902353478942126,0.6205915642040714,0.7642501397392403,0.14365857553516892,FAIL,FAIL_UNDERPERFORM,KILL
SPY,xasset_metals_riskoff,126,0.5326166336946716,0.8673964015186144,False,-0.3347797678239428,3165,0.48034658340450753,0.32801775331834404,252,0.04116436342252279,False,-1.29606024892723,2.539184813651313,2.902353478942126,0.2991763153358263,0.7642501397392403,0.465073824403414,FAIL,FAIL_UNDERPERFORM,KILL
SPY,xasset_metals_riskoff,252,0.6496942240931732,0.8673964015186144,False,-0.21770217742544118,3001,0.49294559554101536,0.3454536766348458,252,0.053740458015267174,False,-0.8426925657140287,2.539184813651313,2.902353478942126,0.4295809598228276,0.7642501397392403,0.33466917991641265,FAIL,FAIL_UNDERPERFORM,KILL
SPY,xasset_breadth,63,0.6291683021176321,0.8673964015186144,False,-0.23822809940098233,1716,0.6351508944609408,0.30099085352877714,244,0.2315242494226328,False,-0.9221693343783056,2.539184813651313,2.902353478942126,0.6194888544195862,0.7642501397392403,0.14476128531965404,FAIL,FAIL_UNDERPERFORM,KILL
SPY,xasset_breadth,126,0.7666236769108927,0.8673964015186144,False,-0.10077272460772169,1586,0.6466293760471944,0.3190364969805192,240,0.3140252866803881,False,-0.3900121256027646,2.539184813651313,2.902353478942126,0.7642501397392403,0.7642501397392403,0.0,PASS,PASS,KILL
SPY,xasset_breadth,252,0.8371945292955077,0.8673964015186144,False,-0.030201872223106663,1427,0.6868399369926086,0.33158120435948235,249,0.3230534351145038,False,-0.1168746362770581,2.539184813651313,2.902353478942126,0.6424609548665965,0.7642501397392403,0.12178918487264379,FAIL,FAIL_UNDERPERFORM,KILL
QQQ,xasset_eq_bond_mom,63,0.3540577301832693,0.9431749535660251,False,-0.5891172233827557,3317,0.4900702005205469,0.3080078460286912,252,0.023960739030023093,False,-2.281055711802472,2.539184813651313,2.902353478942126,0.23542104610156633,0.8791374165315595,0.6437163704299932,FAIL,FAIL_UNDERPERFORM,KILL
QQQ,xasset_eq_bond_mom,126,0.3413805492144152,0.9431749535660251,False,-0.6017944043516099,3226,0.4825576511110177,0.32460583624359046,252,0.026756836224639813,False,-2.3301619987357816,2.539184813651313,2.902353478942126,0.17108557766107912,0.8791374165315595,0.7080518388704804,FAIL,FAIL_UNDERPERFORM,KILL
QQQ,xasset_eq_bond_mom,252,0.6151121160771984,0.9431749535660251,False,-0.3280628374888267,3068,0.4840700351387375,0.3387203271119502,252,0.04549618320610687,False,-1.2699372343427318,2.539184813651313,2.902353478942126,0.491895635456999,0.8791374165315595,0.38724178107456053,FAIL,FAIL_UNDERPERFORM,KILL
QQQ,xasset_metals_riskoff,63,0.7468361318981281,0.9431749535660251,False,-0.19633882166789696,3279,0.49865051871402905,0.30074094743274427,252,0.03175519630484989,False,-0.759896032914989,2.539184813651313,2.902353478942126,0.6712598611491757,0.8791374165315595,0.20787755538238384,FAIL,FAIL_UNDERPERFORM,KILL
QQQ,xasset_metals_riskoff,126,0.5876296963046059,0.9431749535660251,False,-0.35554525726141917,3165,0.48034658340450753,0.32801775331834404,252,0.04116436342252279,False,-1.376367283718508,2.539184813651313,2.902353478942126,0.37617293551156716,0.8791374165315595,0.5029644810199924,FAIL,FAIL_UNDERPERFORM,KILL
QQQ,xasset_metals_riskoff,252,0.6562084034930775,0.9431749535660251,False,-0.2869665500729476,3001,0.49294559554101536,0.3454536766348458,252,0.053740458015267174,False,-1.1107952253928,2.539184813651313,2.902353478942126,0.4772733788437177,0.8791374165315595,0.40186403768784185,FAIL,FAIL_UNDERPERFORM,KILL
QQQ,xasset_breadth,63,0.685748366280883,0.9431749535660251,False,-0.2574265872851421,1716,0.6351508944609408,0.30099085352877714,244,0.2315242494226328,False,-0.9964122606745981,2.539184813651313,2.902353478942126,0.6854894886982995,0.8791374165315595,0.19364792783326001,FAIL,FAIL_UNDERPERFORM,KILL
QQQ,xasset_breadth,126,0.8454783253245308,0.9431749535660251,False,-0.09769662824149428,1586,0.6466293760471944,0.3190364969805192,240,0.3140252866803881,False,-0.37805935123503215,2.539184813651313,2.902353478942126,0.8791374165315595,0.8791374165315595,0.0,PASS,PASS,KILL
QQQ,xasset_breadth,252,0.8824815691685115,0.9431749535660251,False,-0.060693384397513594,1427,0.6868399369926086,0.33158120435948235,249,0.3230534351145038,False,-0.23485199679069138,2.539184813651313,2.902353478942126,0.7485085169802534,0.8791374165315595,0.13062889955130608,FAIL,FAIL_UNDERPERFORM,KILL
NVDA,xasset_eq_bond_mom,63,0.6138816227839102,1.0699244352672317,False,-0.45604281248332146,3317,0.4900702005205469,0.3080078460286912,252,0.023960739030023093,False,-1.7653527009738048,2.539184813651313,2.902353478942126,0.7550926901874548,1.462257217913248,0.7071645277257932,FAIL,FAIL_UNDERPERFORM,KILL
NVDA,xasset_eq_bond_mom,126,0.6220613566096874,1.0699244352672317,False,-0.44786307865754427,3226,0.4825576511110177,0.32460583624359046,252,0.026756836224639813,False,-1.733671379813456,2.539184813651313,2.902353478942126,0.6956877317443417,1.462257217913248,0.7665694861689063,FAIL,FAIL_UNDERPERFORM,KILL
NVDA,xasset_eq_bond_mom,252,1.0009614271022713,1.0699244352672317,False,-0.06896300816496037,3068,0.4840700351387375,0.3387203271119502,252,0.04549618320610687,False,-0.26679219777050833,2.539184813651313,2.902353478942126,1.075670233024242,1.462257217913248,0.386586984889006,FAIL,FAIL_UNDERPERFORM,KILL
NVDA,xasset_metals_riskoff,63,0.8381580940421988,1.0699244352672317,False,-0.23176634122503292,3279,0.49865051871402905,0.30074094743274427,252,0.03175519630484989,False,-0.8968835875941616,2.539184813651313,2.902353478942126,0.9616104900641309,1.462257217913248,0.5006467278491171,FAIL,FAIL_UNDERPERFORM,KILL
NVDA,xasset_metals_riskoff,126,0.6941252440039308,1.0699244352672317,False,-0.37579919126330086,3165,0.48034658340450753,0.32801775331834404,252,0.04116436342252279,False,-1.4545763738425213,2.539184813651313,2.902353478942126,0.7529704081125613,1.462257217913248,0.7092868098006867,FAIL,FAIL_UNDERPERFORM,KILL
NVDA,xasset_metals_riskoff,252,0.7375942692970433,1.0699244352672317,False,-0.3323301659701884,3001,0.49294559554101536,0.3454536766348458,252,0.053740458015267174,False,-1.2862448999615772,2.539184813651313,2.902353478942126,0.8124208112445014,1.462257217913248,0.6498364066687466,FAIL,FAIL_UNDERPERFORM,KILL
NVDA,xasset_breadth,63,0.9504357908135134,1.0699244352672317,False,-0.11948864445371832,1716,0.6351508944609408,0.30099085352877714,244,0.2315242494226328,False,-0.4623022012516441,2.539184813651313,2.902353478942126,1.202066189586971,1.462257217913248,0.26019102832627694,FAIL,FAIL_UNDERPERFORM,KILL
NVDA,xasset_breadth,126,1.1757054381838394,1.0699244352672317,True,0.10578100291660775,1586,0.6466293760471944,0.3190364969805192,240,0.3140252866803881,False,0.40907328419763744,2.539184813651313,2.902353478942126,1.462257217913248,1.462257217913248,0.0,PASS,PASS,KEEP
NVDA,xasset_breadth,252,1.2445537348955378,1.0699244352672317,True,0.1746292996283061,1427,0.6868399369926086,0.33158120435948235,249,0.3230534351145038,False,0.6752101546281184,2.539184813651313,2.902353478942126,1.3398172952893332,1.462257217913248,0.12243992262391479,PASS,PASS,KEEP
