instrument,set,k,lane_sharpe,bench_sharpe,n_trades,tstat,min_tstat_K4,min_tstat_K60,fixed_sharpe,searched_sharpe,selection_gap,mean_pos_corr,gate,reason_class,verdict
AAPL,set3,2,0.9079127855312331,0.9770349722730817,124,-0.2674550388905768,2.2414027276049464,3.143980287069073,0.8359869003522739,1.0602683192026816,0.22428141885040775,-0.12493691782325894,FAIL,FAIL_UNDERPERFORM,KILL
AAPL,set3,3,0.32309393700036215,0.9770349722730817,40,-2.532105488950751,2.2414027276049464,3.143980287069073,0.30122625010051396,1.0602683192026816,0.7590420691021676,-0.12493691782325894,FAIL,FAIL_UNDERPERFORM,KILL-SIG
AAPL,set5,2,1.0222427240480918,0.9770349722730817,149,0.17488450175148848,2.2414027276049464,3.143980287069073,1.0602683192026816,1.0602683192026816,0.0,-0.03510089533888953,PASS,PASS,KEEP
AAPL,set5,3,0.8850361129892732,0.9770349722730817,232,-0.35598639601331244,2.2414027276049464,3.143980287069073,0.7433393458339288,1.0602683192026816,0.3169289733687528,-0.03510089533888953,FAIL,FAIL_UNDERPERFORM,KILL
AMZN,set3,2,0.6798405196152141,0.8638800519755336,139,-0.7123612008427986,2.2414027276049464,3.143980287069073,0.7536832121542537,0.7536832121542537,0.0,-0.11087260655513566,FAIL,FAIL_UNDERPERFORM,KILL
AMZN,set3,3,0.42293095958452914,0.8638800519755336,40,-1.707259650426905,2.2414027276049464,3.143980287069073,0.14017661115296168,0.7536832121542537,0.6135066010012921,-0.11087260655513566,FAIL,FAIL_UNDERPERFORM,KILL
AMZN,set5,2,0.8219608019516161,0.8638800519755336,153,-0.1622223862450137,2.2414027276049464,3.143980287069073,0.6350875557911325,0.7536832121542537,0.1185956563631212,-0.018611458611103908,FAIL,FAIL_UNDERPERFORM,KILL
AMZN,set5,3,0.6098721308900584,0.8638800519755336,255,-0.9832755574814588,2.2414027276049464,3.143980287069073,0.5755704619223313,0.7536832121542537,0.1781127502319224,-0.018611458611103908,FAIL,FAIL_UNDERPERFORM,KILL
BTC-USD,set3,2,1.1818684607258942,0.9120554396024015,117,1.041740295090497,2.2414027276049464,3.143980287069073,1.1411103880245097,1.1411103880245097,0.0,-0.17772316437557098,PASS,PASS,KEEP
BTC-USD,set3,3,0.2955790113811146,0.9120554396024015,40,-2.383287178270876,2.2414027276049464,3.143980287069073,0.37978570221981506,1.1411103880245097,0.7613246858046947,-0.17772316437557098,FAIL,FAIL_UNDERPERFORM,KILL-SIG
BTC-USD,set5,2,1.1683442199707488,0.9120554396024015,93,0.9895547089411864,2.2414027276049464,3.143980287069073,1.029100502268751,1.1411103880245097,0.11200988575575876,-0.07051217555678986,PASS,PASS,KEEP
BTC-USD,set5,3,1.113360602441681,0.9120554396024015,221,0.7773543658511303,2.2414027276049464,3.143980287069073,1.067646867237704,1.1411103880245097,0.07346352078680574,-0.07051217555678986,PASS,PASS,KEEP
GLD,set3,2,0.32977566439258466,0.4288612934839662,122,-0.3836648355190645,2.2414027276049464,3.143980287069073,0.23573668947519566,0.637988570139813,0.40225188066461737,-0.1341618090098236,FAIL,FAIL_UNDERPERFORM,KILL
GLD,set3,3,0.5663475046263613,0.4288612934839662,36,0.5322420327925385,2.2414027276049464,3.143980287069073,0.637988570139813,0.637988570139813,0.0,-0.1341618090098236,PASS,PASS,KEEP
GLD,set5,2,0.33431514966075154,0.4288612934839662,168,-0.36608661205968757,2.2414027276049464,3.143980287069073,0.3576755151108306,0.637988570139813,0.2803130550289824,0.002942318043543979,FAIL,FAIL_UNDERPERFORM,KILL
GLD,set5,3,0.14283285325095074,0.4288612934839662,208,-1.1076144265534043,2.2414027276049464,3.143980287069073,0.33560027433975315,0.637988570139813,0.3023882958000599,0.002942318043543979,FAIL,FAIL_UNDERPERFORM,KILL
GOOGL,set3,2,0.3100212194949177,0.7546852072703625,143,-1.721784238247156,2.2414027276049464,3.143980287069073,0.0800295431868462,0.5617871110246198,0.48175756783777357,-0.10058401749616741,FAIL,FAIL_UNDERPERFORM,KILL
GOOGL,set3,3,0.27781340635999785,0.7546852072703625,38,-1.8465308466181642,2.2414027276049464,3.143980287069073,0.3988353375590969,0.5617871110246198,0.16295177346552286,-0.10058401749616741,FAIL,FAIL_UNDERPERFORM,KILL
GOOGL,set5,2,0.6011489186745864,0.7546852072703625,151,-0.5943517830004862,2.2414027276049464,3.143980287069073,0.5617871110246198,0.5617871110246198,0.0,0.0015042051531730578,FAIL,FAIL_UNDERPERFORM,KILL
GOOGL,set5,3,0.18189761194299334,0.7546852072703625,239,-2.2180305557062234,2.2414027276049464,3.143980287069073,-0.12584911548829103,0.5617871110246198,0.6876362265129108,0.0015042051531730578,FAIL,FAIL_NONPOSITIVE,KILL
JPM,set3,2,0.2159302700420604,0.6577971467582041,142,-1.7110375280210368,2.2414027276049464,3.143980287069073,0.12599970157398008,0.5862450933080994,0.46024539173411927,-0.14011287947197767,FAIL,FAIL_UNDERPERFORM,KILL
JPM,set3,3,-0.0246243852124058,0.6577971467582041,56,-2.6426560114758932,2.2414027276049464,3.143980287069073,-0.22370646441531125,0.5862450933080994,0.8099515577234107,-0.14011287947197767,FAIL,FAIL_NONPOSITIVE,KILL-SIG
JPM,set5,2,0.6458722098720947,0.6577971467582041,161,-0.04615987356282976,2.2414027276049464,3.143980287069073,0.5862450933080994,0.5862450933080994,0.0,-0.0210629696855963,FAIL,FAIL_UNDERPERFORM,KILL
JPM,set5,3,0.22974051423911002,0.6577971467582041,218,-1.6575501112744822,2.2414027276049464,3.143980287069073,0.10230748684393441,0.5862450933080994,0.48393760646416495,-0.0210629696855963,FAIL,FAIL_UNDERPERFORM,KILL
META,set3,2,0.5607519025281579,0.7565094998122481,122,-0.6951787380550326,2.2414027276049464,3.143980287069073,0.7480611982576351,0.7480611982576351,0.0,-0.1912681726664636,PASS,PASS,KILL
META,set3,3,0.5710279723959847,0.7565094998122481,28,-0.6586785349270345,2.2414027276049464,3.143980287069073,0.6753786356903034,0.7480611982576351,0.07268256256733163,-0.1912681726664636,PASS,PASS,KILL
META,set5,2,0.7169731441991879,0.7565094998122481,118,-0.1403746089316478,2.2414027276049464,3.143980287069073,0.6655336799264697,0.7480611982576351,0.08252751833116534,-0.0680007279613977,PASS,PASS,KILL
META,set5,3,0.4611855389475221,0.7565094998122481,230,-1.0488668404082746,2.2414027276049464,3.143980287069073,0.4790167260599878,0.7480611982576351,0.26904447219764727,-0.0680007279613977,FAIL,FAIL_UNDERPERFORM,KILL
MSFT,set3,2,0.46749780603449925,0.9142669643667102,134,-1.7297256172762117,2.2414027276049464,3.143980287069073,0.5912850151884725,0.9365743000298457,0.3452892848413731,-0.14086976300233436,FAIL,FAIL_UNDERPERFORM,KILL
MSFT,set3,3,0.43534896518916283,0.9142669643667102,30,-1.8542474581610546,2.2414027276049464,3.143980287069073,0.2811338209345182,0.9365743000298457,0.6554404790953274,-0.14086976300233436,FAIL,FAIL_UNDERPERFORM,KILL
MSFT,set5,2,0.852525992710599,0.9142669643667102,127,-0.2389179175713501,2.2414027276049464,3.143980287069073,0.9365743000298457,0.9365743000298457,0.0,-0.03300054918790193,FAIL,FAIL_UNDERPERFORM,KILL
